Geography,What is the capital of Turkey?,Ankara
Geography,What is the national animal of China?,Giant panda
Geography,Which Turkish city has the name of a cartoon character?,Batman
Geography,What is the noisiest city in the world?,Hong Kong
Geography,What is the name of the desert area in Mexico?,Sonora
Geography,What is a very cold part of Russia?,Siberia
Geography,How many continents are there?,Seven
Geography,On which Italian island is Palermo?,Sicily
Geography,How many time zones are there in the world?,Twenty-four
Geography,Which is the largest desert on earth?,Sahara
Geography,Which river is flowing through Rome?,Tiber
Geography,Which country did once have the name Rhodesia?,Zimbabwe
Geography,What island which belonged to Denmark was independent in 1944?,Iceland
Geography,What is the largest state of the United States?,Alaska
Geography,On which continent can you visit Sierra Leone?,Africa
Geography,Which European river does flow through six different countries?,Donau river
Geography,What is the longest river in Europe?,Wolga river
Geography,Through which capital does the Liffey river flow?,Dublin
Geography,What is the second largest country in Europe after Russia?,France
Geography,What is the capital of the American state Hawaii?,Honolulu
Geography,What do the Japanese people call their own country?,Nippon
Geography,In which country is Krakow located?,Poland
Geography,What is the largest city in Canada?,Toronto
Geography,What is the capital city of Australia ?,Canberra
Geography,Which two seas are joined by the Suez Canal?,The Mediterranean Sea and the Red Seas
Geography, What is the largest city and commercial capital of Sri Lanka?, Colombo
Geography, What country is the second largest in the world by area?, Canada
Geography, What is the name of the former country that was succeeded by countries such as Serbia; Croatia and Slovenia?, Yugoslavia
Geography, Where is the Luxor Hotel & Casino located?, Paradise; Nevada
History, Which German Count invented the zeppelin?,Count (Von) Zeppelin
History, Who was the first president of the USA?,George Washington
History, Who was the second president of the United States?,John Adams
History, How many women did Henry VIII have?,Six women
History, In which city was the Titanic built?,Belfast
History, What was the name of Napoleon's first wife?,Josephine
History, Which city became capital of West-Germany in 1949?,Bonn
History, On which island was Napoleon born?,Corsica
History, How many children did Queen Victoria have?,Nine children
History, Which war was ended by the signing the armistice on July 27 th 1953?,The Korean War
History, When became Albania an independent country? In 1713; 1813 or 1913?,In the year 1913
History, Xerxes ruled a great empire around the fifth century BC. Which empire?,The Persian empire
History, Which French king was called the Sun King?,Louis XIV
History, What was in England the northern frontier of the Roman Empire?,Hadrian's wall
History, Which German war criminal was for 21 years the only inmate of Spandau complex?,Rudolf Hess
History, Who did Greenland discover?,Erik de Rode
History, Which Mexican rebel was shot in 1923 and died?,Pancho Villa
History, Which building in Athens was destroyed by a Venetian cannon ball in the 17th century?,Parthenon
History, What was the name of the Protestant revolution against the domination of the Pope?,Reformation
History, Who was the first king of Belgium ?,Leopold I
History, What was the former name of New York?,New Amsterdam
History, Which country was formerly called Ceylon?,Sri Lanka
History, What was the Latin name of Paris in Roman times?,Lutetia
History, Which city was the capital of Australia from 1901 to 1927?,Melbourne
History, Which country sent its navy around the world to fight the Japanese in 1904?,Russia
Film/TV,How many oscars did the Titanic movie got?,Eleven
Film/TV,How many Tomb Raider movies were made?,Two movies
Film/TV,Which malformation did Marilyn Monroe have when she was born?,Six toes
Film/TV,What is the house number of the Simpsons?,Number 742
Film/TV,What is the name of the prison in the film The Rock?,Alcatraz
Film/TV,Who is the protagonist in the Last Action Hero film?,Arnold Schwarzenegger
Film/TV,What is the pseudonym of Allen Stewart Koningsberg?,Woody Allen
Film/TV,What is the name of the little dragon in the animated movie Mulan?,Mushu
Film/TV,Which actor does play Sonny Crockett in Miami Vice 2006?,Colin Farell
Film/TV,Who is the director of Reservoir Dogs?,Quentin Tarantino
Film/TV,Who is the director of the X-files?,Rob Bowman
Film/TV,Who was the male protagonist in The Horse Wisperer?,Robert Redford
Film/TV,Who did play the role of Peter Pan in the Peter Pan movie?,Robin Williams
Film/TV,Which Italian film director is considered as the father of the spaghetti western?,Sergio Leone
Film/TV,What number is on Herbie the beatle?,Fifty-three
Film/TV,Give the name of the best James Bond parody.,Austin Powers
